Timestamp,MovingAverage
2023-11-24 13:57:59,19473.166666666664
2023-11-24 13:58:00,19471.88333333333
2023-11-24 13:58:01,19471.916666666668
2023-11-24 13:58:02,19471.25
2023-11-24 13:58:03,19470.666666666668
2023-11-24 13:58:04,19468.95
2023-11-24 13:58:05,19468.283333333333
2023-11-24 13:58:06,19473.066666666666
2023-11-24 13:58:07,19479.149999999998
2023-11-24 13:58:08,19483.399999999998
2023-11-24 13:58:09,19485.416666666664
2023-11-24 13:58:10,19487.766666666666
2023-11-24 13:58:11,19490.016666666666
2023-11-24 13:58:12,19489.366666666665
2023-11-24 13:58:13,19490.383333333335
2023-11-24 13:58:14,19490.933333333334
2023-11-24 13:58:15,19491.566666666666
2023-11-24 13:58:16,19487.616666666665
2023-11-24 13:58:17,19484.85
2023-11-24 13:58:18,19479.716666666667
2023-11-24 13:58:19,19476.383333333335
2023-11-24 13:58:20,19473.416666666668
2023-11-24 13:58:21,19472.483333333334
2023-11-24 13:58:22,19470.8
2023-11-24 13:58:23,19467.666666666668
2023-11-24 13:58:24,19463.25
2023-11-24 13:58:25,19461.4
2023-11-24 13:58:26,19460.933333333334
2023-11-24 13:58:27,19463.95
2023-11-24 13:58:28,19464.766666666666
2023-11-24 13:58:29,19465.3
2023-11-24 13:58:30,19462.183333333334
2023-11-24 13:58:31,19459.016666666666
2023-11-24 13:58:32,19457.25
2023-11-24 13:58:33,19458.55
2023-11-24 13:58:34,19459.916666666668
2023-11-24 13:58:35,19459.933333333334
2023-11-24 13:58:36,19456.566666666666
2023-11-24 13:58:37,19454.716666666667
2023-11-24 13:58:38,19452.45
2023-11-24 13:58:39,19450.983333333334
2023-11-24 13:58:40,19447.516666666666
2023-11-24 13:58:41,19444.583333333332
2023-11-24 13:58:42,19442.066666666666
2023-11-24 13:58:43,19439.816666666666
2023-11-24 13:58:44,19439.55
2023-11-24 13:58:45,19442.466666666667
2023-11-24 13:58:46,19444.033333333333
2023-11-24 13:58:47,19444.816666666666
2023-11-24 13:58:48,19443.616666666665
2023-11-24 13:58:49,19443.35
2023-11-24 13:58:50,19445.183333333334
2023-11-24 13:58:51,19446.383333333335
2023-11-24 13:58:52,19448.566666666666
2023-11-24 13:58:53,19449.083333333332
2023-11-24 13:58:54,19450.666666666668
2023-11-24 13:58:55,19451.316666666666
2023-11-24 13:58:57,19451.2
2023-11-24 13:58:57,19450.15
2023-11-24 13:58:58,19449.616666666665
2023-11-24 13:58:59,19449.916666666668
2023-11-24 13:59:00,19449.666666666668
2023-11-24 13:59:01,19448.466666666667
2023-11-24 13:59:02,19446.333333333332
2023-11-24 13:59:03,19444.733333333334
2023-11-24 13:59:04,19443.1
2023-11-24 13:59:05,19441.416666666668
2023-11-24 13:59:06,19439.483333333334
2023-11-24 13:59:07,19438.86666666667
2023-11-24 13:59:08,19437.416666666668
2023-11-24 13:59:09,19437.666666666668
2023-11-24 13:59:10,19438.8
2023-11-24 13:59:11,19440.483333333334
2023-11-24 13:59:12,19440.56666666667
2023-11-24 13:59:13,19439.75
2023-11-24 13:59:14,19437.566666666666
2023-11-24 13:59:15,19436.233333333334
2023-11-24 13:59:17,19433.633333333335
2023-11-24 13:59:18,19430.31666666667
2023-11-24 13:59:19,19425.55
